name,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
AutoShark,4228.906947813894,927.1874916085972,282.8061681871751,332.1359725605068,1000.7246093548598,1749.9439543567971,1353.247315021907,1279.3403881517868,471.0494697105537,187.37125190645804,1099.7883892932352,449.4484474038446,299.58728501098454,630.420793999559,225.94486318102284,1377.529762732118,309.9656639942844,388.8061866289009,178.13889817982616,473.3594419684309,2392.4844057140854,635.7897286406499,418.6812558764292,316.537020871317,551.8311833055172,810.9606208392073,580.0727521835616,4148.327667535063,2143.8294635163875,865.6783125763201
AUX-Exchange,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,1776657.90273,557148.720139,557148.720139,557148.720139,0.0,2428152.124202,896194.360056
Axial,8816.135432169347,3279.8916437654098,5973.917655924762,2459.9266152047485,2601.029493091993,4461.195723941471,4461.195723941471,4633.769869006669,13876.268789686495,10219.601622844984,9703.964675670575,9709.697711017589,9706.064675670576,14195.916801898366,10168.503350958614,9790.667000165566,11140.611110464011,4567.983746506352,20763.330346719373,9630.79321718255,13061.920396350242,9816.62655993951,9232.997782584796,18915.98776283437,30065.512654509508,12600.006870316549,18864.397912378343,15426.005273767396,33072.45616485627,32574.216697087344
BabyDogeSwap,28819.93768442977,43084.37485998542,87482.38757459531,48780.5341087316,68780.72626157604,64497.77021650951,49075.17300595702,36483.29473665744,47150.28786172984,113081.4820596797,74289.72828615455,42759.425118766136,57551.88935090621,59302.43372811592,62834.3615683278,43555.73884016941,58598.77139490398,55638.39940247812,36976.417235750574,30503.31653539136,462221.24610979547,37647.585824048765,39066.48475621937,12706.615136901366,77659.52299471227,43981.67542102576,38745.709863766606,61615.70517907827,63347.5890091665,484904.594081118
BabySwap,70718.23778758278,61995.23131023623,266085.7063431769,215253.90752148835,74225.58609348747,95565.42295772392,115241.28408082458,64275.52444806104,71940.91356795315,44952.62126562958,83589.82347420165,265846.4734540333,41648.18942336481,105283.0626503318,81112.6561945126,45596.31217482425,101816.5099905665,46380.30044975141,75498.44909806697,152598.96163893733,251554.43031259952,212722.2111446214,49190.01582119634,266151.0625872666,160128.67568109336,631692.8340057089,192581.34386369176,216313.8938752831,281085.89652893576,556474.0709447119
Balancer,15820209.632199118,19930047.728106745,30548312.79654931,17619534.95292832,15908561.751399107,17977674.94768656,28103290.12795945,31431287.02348572,17675498.86192093,32738287.01382357,22632250.535264272,13622822.339130905,32697454.26164841,32303652.431837045,22396882.99254786,27872745.6520229,23144217.044010524,12726122.192907602,11508844.524017569,12346273.19583368,24045710.46775056,31997141.671470564,20882085.19971508,16256692.2358441,38454885.6144682,27628094.87259902,34807169.32839663,38297378.5856237,61084329.45583401,39769407.39005901
Bancor-V3,202618.603361,347921.453581,185592.860112,221511.981348,100424.330389,264825.754323,445655.631293,192717.14026,269703.4734,131779.579419,77922.945646,70314.782203,1389048.0,3585601.0,1501063.847251,4360201.899326,1185731.653425,1255284.098394,629191.908793,3735941.395632,1551721.945302,1586862.206951,4547356.208518,2080150.381057,2470328.177698,1170568.529004,1218972.271255,1578912.812317,3281719.523485,2424542.434049
Bancor-V2.1,1830.115108,1714.3083,394.617842,110.907306,1182.454933,1319.984119,42.692138,2543.060067,885.950811,759.476656,872.390594,258.270844,1163.064749,10007.671187,31541.854381,5473.642265,670.966189,1402681.311374,313.678287,4337.065865,12028.598058,11173.57388,64769.882969,8519.45183,52729.769211,331532.314863,1577.311766,23272.837501,1237.414417,960.41219
BaseSwap-V2,1419806.3143238276,920729.1405673794,1487952.0070506334,5317584.738039109,2080877.2066563016,7154744.314666861,2268744.8919385327,4558782.941938031,1903846.0206558548,8404474.406047726,5147657.781093784,1797318.9037825053,232621.6279120512,325217.5418364769,241988.5237403556,247515.39367616863,10937991.295412328,1009584.9101045836,200597.3660085255,182874.55952799617,281483.05025758763,280438.62270549405,183782.27254730425,999266.6821115138,219989.1640222713,4092395.106197031,1545639.2980038603,1093253.0206150657,705629.4009467447,3606988.42346304
BeamSwap-Classic,28462.365705534063,30726.282709568768,41380.69614236118,28250.811685072327,6969.039749735096,19893.679049054503,13378.032517577867,25346.244227029936,12551.994944142582,16988.318210802106,16994.305680783506,4379.255566164355,23472.71568405176,24553.38844654673,6766.457673125179,9566.368439654212,4337.734153721299,17022.74569131502,14664.461011381103,11606.237129993888,9772.21133423443,11254.83161035133,16036.662476943531,22836.39447455632,34019.558817163066,27238.923398696763,26403.025241068328,10071.962085907238,33285.77006154991,28013.00991189678
